"experiment_id","customer_id","experiment_group","enrollment_date"
"EXP_CHECKOUT_UI_01","1","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","2","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","3","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","4","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","5","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","6","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","7","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","8","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","9","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","10","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","11","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","12","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","13","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","14","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","15","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","16","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","17","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","18","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","19","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","20","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","21","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","22","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","23","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","24","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","25","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","26","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","27","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","28","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","29","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","30","Control","2023-07-01"
"EXP_CHECKOUT_UI_01","31","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","32","Variant","2023-07-01"
"EXP_CHECKOUT_UI_01","33","Variant","2023-07-01"
