delivery_id,order_id,delivery_status,delivery_time,rider_id
1,658,Delivered,00:44:58,1
2,111,Delivered,00:44:48,6
3,8481,Not Delivered,,6
4,4634,Delivered,00:29:42,4
5,8699,Delivered,00:44:39,13
6,2031,Delivered,00:26:38,4
7,2844,Delivered,00:23:32,13
8,4074,Delivered,00:25:15,3
9,3060,Delivered,00:37:52,6
10,8260,Delivered,00:31:33,12
11,2359,Delivered,00:27:17,6
12,4928,Delivered,00:36:07,7
13,228,Delivered,00:27:06,9
14,1325,Delivered,00:20:05,11
15,6422,Delivered,00:35:58,3
16,4938,Delivered,00:39:56,1
17,3439,Order,,3
18,3939,Delivered,00:37:32,12
19,2416,Delivered,00:41:30,15
20,7023,Delivered,00:23:28,8
21,5889,Delivered,00:21:27,4
22,8831,Delivered,00:25:21,15
23,7514,Delivered,00:30:57,6
24,4113,Delivered,00:28:56,5
25,1111,Delivered,00:33:51,7
26,4992,Delivered,00:35:49,4
27,9301,Delivered,00:37:35,14
28,9206,Delivered,00:27:26,5
29,6239,Delivered,00:28:20,3
30,639,Delivered,00:18:14,14
31,8823,Delivered,00:38:11,7
32,1323,Delivered,00:37:07,2
33,5140,Delivered,00:25:04,10
34,9337,Delivered,00:26:01,7
35,4687,Delivered,00:33:57,5
37,7902,Delivered,00:38:54,3
38,5770,Delivered,00:24:45,13
39,4344,Delivered,00:30:28,8
40,673,Delivered,00:37:25,1
41,4795,Delivered,00:21:16,6
42,983,Delivered,00:25:09,2
43,1661,Delivered,00:36:03,3
44,6325,Delivered,00:19:47,5
45,2376,Delivered,00:38:40,5
46,4839,Delivered,00:30:10,14
47,9393,Delivered,00:28:00,3
48,7679,Delivered,00:16:54,13
49,8717,Delivered,00:37:51,4
50,9292,Delivered,00:37:39,14
51,6943,Delivered,00:34:35,6
52,1278,Delivered,00:16:19,15
53,576,Delivered,00:17:48,13
54,9705,Delivered,00:33:41,1
55,171,Delivered,00:32:35,14
56,8278,Delivered,00:14:29,13
57,3399,Not Delivered,,9
58,2361,Delivered,00:22:09,1
59,4825,Delivered,00:27:00,1
60,6730,Delivered,00:27:00,13
61,458,Delivered,00:34:47,7
62,3990,Delivered,00:36:35,11
