"order_id","customer_id","restaurant_id","order_item","order_date","order_time","order_status","total_amount"
658,9,54,"Pasta Alfredo","2023-08-16","23:59:58","Completed","314.00"
111,11,15,"Chicken Biryani","2023-03-03","23:59:48","Completed","411.00"
8481,5,8,"Masala Dosa","2023-08-05","23:59:48","Completed","200.00"
4634,17,58,"Chicken Shawarma","2023-03-08","23:59:42","Completed","259.00"
8699,7,22,"Samosa","2023-11-28","23:59:39","Completed","201.00"
2031,12,53,"Burger","2023-08-24","23:59:38","Completed","252.00"
2844,15,27,"Mutton Rogan Josh","2023-03-05","23:59:32","Completed","340.00"
4074,18,27,"Paneer Butter Masala","2023-01-11","23:59:15","Completed","317.00"
3060,1,29,"Pasta Alfredo","2023-09-04","23:58:52","Completed","422.00"
8260,7,5,"Paneer Lababdar","2023-12-31","23:58:33","Completed","332.00"
2359,13,28,"Masala Dosa","2023-06-28","23:58:17","Completed","529.00"
4928,22,42,"Mutton Biryani","2023-10-21","23:58:07","Completed","263.00"
228,1,14,"Egg Curry","2023-05-06","23:58:06","Completed","304.00"
1325,13,45,"Prawn Masala","2023-06-28","23:58:05","Completed","266.00"
6422,18,46,"Chole Bhature","2023-09-10","23:57:58","Completed","508.00"
4938,19,15,"Chicken Shawarma","2023-10-14","23:57:56","Completed","309.00"
3439,9,37,"Prawn Masala","2023-04-14","23:57:32","Completed","207.00"
3939,17,16,"Masala Dosa","2023-05-24","23:57:32","Completed","324.00"
2416,6,20,"Mutton Biryani","2023-01-10","23:57:30","Completed","298.00"
7023,5,56,"Masala Dosa","2023-01-23","23:57:28","Completed","269.00"
5889,22,50,"Paneer Lababdar","2023-07-07","23:57:27","Completed","331.00"
8831,7,25,"Paneer Lababdar","2023-08-04","23:57:21","Completed","546.00"
7514,6,25,"Mutton Biryani","2023-03-03","23:56:57","Completed","556.00"
4113,16,29,"Prawn Masala","2023-11-02","23:56:56","Completed","210.00"
1111,7,5,"Samosa","2023-04-28","23:56:51","Completed","259.00"
4992,19,4,"Prawn Masala","2023-04-18","23:56:49","Completed","479.00"
9301,9,44,"Dal Makhani","2023-11-26","23:56:35","Completed","461.00"
9206,9,19,"Chole Bhature","2023-10-20","23:56:26","Completed","306.00"
6239,15,32,"Chicken Shawarma","2023-12-09","23:56:20","Completed","233.00"
639,20,25,"Paneer Butter Masala","2023-11-12","23:56:14","Completed","267.00"
8823,8,21,"Samosa","2023-11-14","23:56:11","Completed","702.00"
1323,16,53,"Mutton Biryani","2023-05-30","23:56:07","Completed","313.00"
5140,19,39,"Paneer Butter Masala","2023-03-03","23:56:04","Completed","531.00"
9337,8,11,"Chicken Tikka","2023-03-25","23:56:01","Completed","231.00"
4687,22,40,"Hyderabadi Biryani","2023-02-21","23:55:57","Completed","362.00"
3485,10,58,"Fish Curry","2023-09-13","23:55:56","Not Fulfilled","246.00"
7902,8,41,"Paneer Tikka","2023-07-01","23:55:54","Completed","575.00"
5770,18,4,"Butter Chicken","2023-02-03","23:55:45","Completed","502.00"
4344,19,42,"Vegetable Fried Rice","2023-09-10","23:55:28","Completed","321.00"
673,21,60,"Butter Chicken","2023-02-08","23:55:25","Completed","324.00"
4795,19,25,"Butter Chicken","2023-09-12","23:55:16","Completed","491.00"
983,8,3,"Pasta Alfredo","2023-04-10","23:55:09","Completed","276.00"
1661,4,57,"Egg Curry","2023-08-25","23:55:03","Completed","327.00"
6325,17,1,"Paneer Butter Masala","2023-11-16","23:54:47","Completed","347.00"
2376,5,58,"Butter Chicken","2023-08-26","23:54:40","Completed","324.00"
4839,15,13,"Mutton Biryani","2023-03-06","23:54:10","Completed","329.00"
9393,8,24,"Samosa","2023-07-25","23:54:00","Completed","530.00"
7679,5,47,"Pasta Alfredo","2023-03-13","23:53:54","Completed","645.00"
8717,9,41,"Chicken Tikka","2023-11-16","23:53:51","Completed","327.00"
9292,9,15,"Hyderabadi Biryani","2023-04-11","23:53:39","Completed","337.00"
6943,9,5,"Mutton Biryani","2023-10-01","23:53:35","Completed","215.00"
1278,17,50,"Mutton Rogan Josh","2023-12-13","23:53:19","Completed","297.00"
576,22,36,"Chicken Biryani","2023-01-19","23:52:48","Completed","340.00"
9705,6,38,"Mutton Biryani","2023-08-14","23:52:41","Completed","635.00"
171,19,37,"Lamb Kebab","2023-12-06","23:52:35","Completed","546.00"
8278,9,10,"Mutton Biryani","2023-11-22","23:52:29","Completed","319.00"
3399,1,27,"Masala Dosa","2023-05-11","23:52:28","Completed","283.00"
2361,21,48,"Paneer Tikka","2023-02-10","23:52:09","Completed","469.00"
4825,18,42,"Chicken Shawarma","2023-05-01","23:52:00","Completed","323.00"
6730,4,39,"Paneer Butter Masala","2023-05-10","23:52:00","Completed","288.00"
458,7,52,"Masala Dosa","2023-12-17","23:51:47","Completed","252.00"
3990,21,15,"Grilled Chicken Sandwich","2023-03-02","23:51:35","Completed","261.00"
6228,18,28,"Pasta Alfredo","2023-08-22","23:51:28","Completed","609.00"
4110,19,12,"Paneer Butter Masala","2023-08-04","23:51:26","Completed","280.00"
9993,23,37,"Lamb Kebab","2023-03-26","23:51:13","Completed","213.00"
9776,4,17,"Samosa","2023-10-29","23:51:06","Completed","248.00"
5374,17,42,"Dal Makhani","2023-02-26","23:51:05","Completed","349.00"
4840,19,3,"Grilled Chicken Sandwich","2023-09-25","23:51:04","Completed","379.00"
6597,4,19,"Chole Bhature","2023-04-14","23:51:02","Completed","243.00"
1722,11,56,"Pasta Alfredo","2023-06-25","23:50:49","Completed","349.00"
8197,8,24,"Dal Makhani","2023-01-03","23:50:46","Completed","267.00"
1874,11,59,"Mutton Rogan Josh","2023-10-22","23:50:44","Completed","321.00"
2005,19,31,"Mutton Rogan Josh","2023-03-01","23:50:44","Completed","345.00"
7147,8,59,"Dal Makhani","2023-02-20","23:50:35","Completed","345.00"
5345,16,6,"Grilled Chicken Sandwich","2023-05-30","23:50:25","Completed","312.00"
1921,10,30,"Paneer Butter Masala","2023-10-18","23:50:15","Completed","337.00"
760,3,6,"Butter Chicken","2023-02-23","23:50:13","Completed","285.00"
3817,13,10,"Masala Dosa","2023-11-28","23:50:10","Completed","264.00"
8418,9,6,"Paneer Tikka","2023-12-14","23:50:08","Not Fulfilled","270.00"
7832,8,36,"Paneer Lababdar","2023-03-27","23:49:55","Completed","208.00"
9937,8,59,"Vegetable Fried Rice","2023-03-20","23:49:53","Completed","202.00"
1588,8,58,"Mutton Rogan Josh","2023-07-01","23:49:51","Completed","322.00"
5005,22,17,"Chicken Shawarma","2023-12-14","23:49:43","Completed","255.00"
7111,6,46,"Paneer Butter Masala","2023-11-18","23:49:33","Completed","292.00"
2829,15,16,"Egg Curry","2023-06-23","23:49:31","Completed","229.00"
2540,13,35,"Grilled Chicken Sandwich","2023-08-21","23:49:28","Completed","305.00"
7789,6,20,"Pasta Alfredo","2023-05-23","23:49:26","Completed","311.00"
4492,15,60,"Egg Curry","2023-12-20","23:49:25","Completed","233.00"
3355,16,7,"Chicken Biryani","2023-05-12","23:49:24","Completed","405.00"
6174,18,39,"Burger","2023-12-29","23:49:19","Completed","260.00"
6588,9,45,"Butter Chicken","2023-04-03","23:48:56","Completed","310.00"
3642,18,2,"Paneer Butter Masala","2023-10-02","23:48:46","Completed","348.00"
2385,1,26,"Paneer Tikka","2023-07-04","23:48:34","Completed","341.00"
3488,17,53,"Hyderabadi Biryani","2023-11-27","23:48:23","Completed","208.00"
8100,8,23,"Mutton Rogan Josh","2023-06-14","23:48:22","Completed","316.00"
9570,8,4,"Dal Makhani","2023-03-17","23:48:21","Completed","249.00"
771,10,38,"Paneer Butter Masala","2023-01-11","23:48:17","Completed","322.00"
4629,16,42,"Paneer Lababdar","2023-08-20","23:48:17","Completed","248.00"
5882,16,48,"Pasta Alfredo","2023-09-14","23:48:10","Completed","368.00"
6893,7,14,"Mutton Biryani","2023-09-17","23:48:08","Completed","268.00"
3371,12,30,"Paneer Butter Masala","2023-04-05","23:48:06","Completed","509.00"
2217,6,7,"Mutton Rogan Josh","2023-05-28","23:48:05","Completed","342.00"
3954,16,11,"Pasta Alfredo","2023-07-08","23:48:05","Completed","312.00"
1498,7,19,"Mutton Rogan Josh","2023-09-01","23:48:00","Completed","544.00"
9460,5,6,"Pizza","2023-10-14","23:47:36","Completed","610.00"
564,7,5,"Mutton Rogan Josh","2023-03-03","23:47:35","Completed","380.00"
4591,16,11,"Egg Curry","2023-01-30","23:47:28","Completed","221.00"
7949,6,19,"Mutton Biryani","2023-03-05","23:47:27","Completed","611.00"
4392,21,18,"Pasta Alfredo","2023-05-23","23:47:22","Completed","285.00"
8613,9,13,"Paneer Lababdar","2023-01-07","23:47:07","Completed","482.00"
7542,5,22,"Dal Makhani","2023-06-20","23:46:59","Completed","528.00"
4090,21,15,"Masala Dosa","2023-07-04","23:46:53","Completed","416.00"
1942,19,48,"Pasta Alfredo","2023-03-02","23:46:48","Completed","283.00"
1441,15,45,"Paneer Butter Masala","2023-10-31","23:46:40","Completed","270.00"
2746,4,7,"Mutton Biryani","2023-03-26","23:46:28","Completed","322.00"
7870,9,23,"Masala Dosa","2023-06-20","23:46:15","Completed","465.00"
8959,9,25,"Samosa","2023-08-22","23:46:15","Completed","205.00"
3258,11,10,"Fish Curry","2023-05-07","23:46:12","Not Fulfilled","266.00"
4984,15,32,"Masala Dosa","2023-10-16","23:45:51","Completed","455.00"
6434,20,39,"Paneer Butter Masala","2023-12-25","23:45:49","Completed","730.00"
3697,4,2,"Masala Dosa","2023-08-11","23:45:31","Completed","210.00"
5179,21,33,"Grilled Chicken Sandwich","2023-09-05","23:45:15","Completed","321.00"
9927,5,10,"Chicken Tikka","2023-01-24","23:45:15","Completed","559.00"
3693,15,9,"Paneer Lababdar","2023-03-01","23:45:10","Completed","215.00"
9807,7,2,"Mutton Biryani","2023-11-11","23:44:46","Completed","326.00"
9895,7,28,"Paneer Lababdar","2023-06-04","23:44:24","Completed","312.00"
3440,21,3,"Vegetable Fried Rice","2023-09-23","23:44:23","Completed","248.00"
9793,8,34,"Chicken Shawarma","2023-11-13","23:44:22","Completed","274.00"
9507,5,53,"Mutton Biryani","2023-01-26","23:44:11","Completed","210.00"
5170,22,16,"Mutton Biryani","2023-10-24","23:43:54","Completed","262.00"
3441,6,12,"Egg Curry","2023-11-26","23:43:50","Completed","403.00"
2533,14,53,"Chole Bhature","2023-08-23","23:43:43","Completed","284.00"
8772,6,37,"Hyderabadi Biryani","2023-02-08","23:43:41","Completed","295.00"
5539,21,16,"Paneer Lababdar","2023-06-25","23:43:19","Completed","206.00"
4560,18,21,"Pasta Alfredo","2023-03-30","23:43:17","Completed","339.00"
287,2,12,"Burger","2023-05-18","23:43:14","Completed","244.00"
9759,4,57,"Chole Bhature","2023-12-19","23:43:13","Completed","232.00"
9757,5,34,"Fish Curry","2023-08-11","23:43:04","Completed","333.00"
3434,19,10,"Dal Makhani","2023-01-16","23:42:59","Completed","200.00"
8348,8,21,"Paneer Tikka","2023-07-05","23:42:57","Completed","594.00"
7723,8,16,"Masala Dosa","2023-11-16","23:42:33","Completed","346.00"
656,5,47,"Masala Dosa","2023-11-12","23:42:31","Completed","287.00"
3068,5,2,"Paneer Lababdar","2023-03-03","23:42:28","Completed","259.00"
7431,6,12,"Fish Curry","2023-02-10","23:42:08","Completed","738.00"
7932,5,18,"Hyderabadi Biryani","2023-07-10","23:42:07","Completed","291.00"
5536,15,55,"Lamb Kebab","2023-12-16","23:41:52","Completed","480.00"
186,9,13,"Fish Curry","2023-04-06","23:41:49","Completed","323.00"
6331,15,18,"Paneer Butter Masala","2023-08-26","23:41:49","Completed","297.00"
6353,22,29,"Chicken Biryani","2023-07-09","23:41:48","Completed","692.00"
